station_name	date	time	latitude	longitude	temperature	precipitation	wind_speed	petrol	n_petrol	people
가락시장역	2016-01-01	5	37.492467	37.492467	-2	0	1.4	1780.99	1407.15	78
가락시장역	2016-01-01	6	37.492467	37.492467	-2	0	0.7	1780.99	1407.15	183
가락시장역	2016-01-01	7	37.492467	37.492467	-1.9	0	1	1780.99	1407.15	143
가락시장역	2016-01-01	8	37.492467	37.492467	-2.1	0	1.4	1780.99	1407.15	261
가락시장역	2016-01-01	9	37.492467	37.492467	-1.8	0	0.5	1780.99	1407.15	286
가락시장역	2016-01-01	10	37.492467	37.492467	-0.8	0	0.6	1780.99	1407.15	316
가락시장역	2016-01-01	11	37.492467	37.492467	0.9	0	1.1	1780.99	1407.15	393
가락시장역	2016-01-01	12	37.492467	37.492467	2.3	0	1.2	1780.99	1407.15	424
가락시장역	2016-01-01	13	37.492467	37.492467	3	0	1	1780.99	1407.15	452
가락시장역	2016-01-01	14	37.492467	37.492467	4.3	0	0.4	1780.99	1407.15	467
가락시장역	2016-01-01	15	37.492467	37.492467	4.3	0	0.6	1780.99	1407.15	459
가락시장역	2016-01-01	16	37.492467	37.492467	4.6	0	1.2	1780.99	1407.15	506
가락시장역	2016-01-01	17	37.492467	37.492467	4.7	0	1.1	1780.99	1407.15	490
가락시장역	2016-01-01	18	37.492467	37.492467	4.5	0	1.1	1780.99	1407.15	436
가락시장역	2016-01-01	19	37.492467	37.492467	4.4	0	0.9	1780.99	1407.15	305
가락시장역	2016-01-01	20	37.492467	37.492467	4.4	0	1.1	1780.99	1407.15	317
가락시장역	2016-01-01	21	37.492467	37.492467	4.5	0	0.9	1780.99	1407.15	299
가락시장역	2016-01-01	22	37.492467	37.492467	3.9	0	0.7	1780.99	1407.15	291
가락시장역	2016-01-01	23	37.492467	37.492467	4	0	0.6	1780.99	1407.15	186
강남역	2016-01-01	5	37.497942	37.497942	-1	0	0.5	1780.99	1407.15	1555
강남역	2016-01-01	6	37.497942	37.497942	-0.2	0	0	1780.99	1407.15	1890
강남역	2016-01-01	7	37.497942	37.497942	-0.3	0	0.6	1780.99	1407.15	1436
강남역	2016-01-01	8	37.497942	37.497942	-0.3	0	1.4	1780.99	1407.15	1878
강남역	2016-01-01	9	37.497942	37.497942	0.2	0	1	1780.99	1407.15	2683
강남역	2016-01-01	10	37.497942	37.497942	1.1	0	0.6	1780.99	1407.15	2673
강남역	2016-01-01	11	37.497942	37.497942	3.1	0	0.8	1780.99	1407.15	2884
강남역	2016-01-01	12	37.497942	37.497942	3.7	0	0.7	1780.99	1407.15	3884
강남역	2016-01-01	13	37.497942	37.497942	4.5	0	1.4	1780.99	1407.15	4411
강남역	2016-01-01	14	37.497942	37.497942	5	0	1.5	1780.99	1407.15	4785
강남역	2016-01-01	15	37.497942	37.497942	4.4	0	1.5	1780.99	1407.15	4903
강남역	2016-01-01	16	37.497942	37.497942	4.3	0	1.2	1780.99	1407.15	6092
강남역	2016-01-01	17	37.497942	37.497942	4.3	0	1.1	1780.99	1407.15	6634
강남역	2016-01-01	18	37.497942	37.497942	4.2	0	1.6	1780.99	1407.15	6518
강남역	2016-01-01	19	37.497942	37.497942	4	0	1.3	1780.99	1407.15	5547
강남역	2016-01-01	20	37.497942	37.497942	4.1	0	1.3	1780.99	1407.15	5027
강남역	2016-01-01	21	37.497942	37.497942	4.2	0	1.3	1780.99	1407.15	5554
강남역	2016-01-01	22	37.497942	37.497942	4.4	0	1.7	1780.99	1407.15	5445
강남역	2016-01-01	23	37.497942	37.497942	4.4	0	1.3	1780.99	1407.15	3309
강변역	2016-01-01	5	37.535144	37.535144	-2.6	0	0.7	1780.99	1407.15	647
강변역	2016-01-01	6	37.535144	37.535144	-3	0	0.2	1780.99	1407.15	2136
강변역	2016-01-01	7	37.535144	37.535144	-2.2	0	0.7	1780.99	1407.15	2009
강변역	2016-01-01	8	37.535144	37.535144	-2.4	0	1.1	1780.99	1407.15	2600
강변역	2016-01-01	9	37.535144	37.535144	-1.6	0	1.1	1780.99	1407.15	3462
강변역	2016-01-01	10	37.535144	37.535144	-0.7	0	1	1780.99	1407.15	4046
강변역	2016-01-01	11	37.535144	37.535144	1	0	0.8	1780.99	1407.15	4437
강변역	2016-01-01	12	37.535144	37.535144	2	0	0.5	1780.99	1407.15	4549
강변역	2016-01-01	13	37.535144	37.535144	3.3	0	0.9	1780.99	1407.15	4669
강변역	2016-01-01	14	37.535144	37.535144	4	0	0.7	1780.99	1407.15	4952
강변역	2016-01-01	15	37.535144	37.535144	4.3	0	0.5	1780.99	1407.15	4889
강변역	2016-01-01	16	37.535144	37.535144	4.5	0	1.3	1780.99	1407.15	4981
강변역	2016-01-01	17	37.535144	37.535144	4.2	0	0.7	1780.99	1407.15	4998
강변역	2016-01-01	18	37.535144	37.535144	4.1	0	0.6	1780.99	1407.15	4259
강변역	2016-01-01	19	37.535144	37.535144	4	0	0.7	1780.99	1407.15	3807
강변역	2016-01-01	20	37.535144	37.535144	3.8	0	0.4	1780.99	1407.15	3510
강변역	2016-01-01	21	37.535144	37.535144	3.8	0	0.5	1780.99	1407.15	3281
강변역	2016-01-01	22	37.535144	37.535144	3.7	0	0.7	1780.99	1407.15	2841
강변역	2016-01-01	23	37.535144	37.535144	3.7	0	0.9	1780.99	1407.15	1442
건대입구역	2016-01-01	5	37.540389	37.540389	-2	0	1.4	1780.99	1407.15	1767
